amplitude damping_time frequency phase psi t0
9.199812450799946e-23 0.26231654916756464 1411.8911660489655 -0.39633330110634635 0.7682851424610658 1165577778.6467214
1.0539884537753026e-22 0.2374267870355748 1397.6442349876788 0.27622808455574077 1.5166958690303174 1165577779.7943716
2.9812292224276743e-22 0.49623531584010006 1472.811947615764 -1.4611037489459096 0.86673245437939 1165577778.518249
1.778748383112661e-22 0.1093739337646151 1313.6711970738386 -0.40992987101823886 1.3792958816396537 1165577778.911133
6.110285568149562e-22 0.12341804313116615 1324.2972871656875 0.5529450867707482 0.45528182571494813 1165577779.1304162
1.917384919920191e-22 0.12494752356892816 1428.4927263456082 1.1354752942783226 0.5484813441633178 1165577779.5250223
2.250429075107738e-22 0.17297546174799508 1403.0915653296024 -1.552322222124474 0.4012586854398357 1165577779.7460625
4.846040260676301e-23 0.1694805685047571 1287.7387821290454 -0.6481090962534561 0.8364453181590825 1165577779.495446
8.966113344338877e-22 0.21902396584894623 1312.6267515871837 0.9902147400955426 0.06986579921662832 1165577778.512195
1.3964683220295704e-22 0.2885291036395508 1466.172326664451 0.2459767384721505 1.026007538975597 1165577779.7843838
3.980818898340712e-23 0.37069502918008085 1304.626402272267 -1.444036792009931 0.842248439925648 1165577778.9597058
7.300334261445599e-23 0.26336710959354037 1304.7368579416004 1.1391974963110636 1.434513708477892 1165577779.1922815
3.8100065037641635e-23 0.20065002335552928 1362.7687991014031 0.16401302923736316 1.367253096300676 1165577779.0578418
4.914509205225965e-23 0.44576011204947746 1313.6672292470741 1.3178078660987569 0.11586012263708896 1165577779.388898
1.0253081024953802e-22 0.22596575659642315 1304.8141990914494 -0.38456468269967115 1.066958670427631 1165577778.7613516
2.0227123777632564e-23 0.31736778554167683 1313.6512767794786 -0.33966174701906393 1.0760862717576167 1165577779.898271
1.6179155312004506e-22 0.09674902119422493 1378.043327764277 -1.1490736098342487 0.8127455175639332 1165577779.0452957
2.5752362411558104e-22 0.4190588268643776 1415.8800220866747 -0.16864606137642713 0.4478549006070602 1165577778.9813595
5.906252396500793e-23 0.41396997353287684 1450.8645578746687 -0.6929073407785877 0.05039052987267979 1165577779.149619
4.421378925151555e-23 0.22511261667554222 1434.788232309998 1.094858472416496 1.228628957415749 1165577779.1552794
3.7883518887691836e-23 0.1458564263649401 1452.1745493182575 -0.7084171295469045 1.090726973179411 1165577779.4300041
2.199995995527031e-22 0.11654615171239421 1423.7004033347666 1.1675401040222226 1.2721236527985138 1165577778.836283
1.8954826967642463e-22 0.49901778368040806 1332.3313255393884 -0.8702568516308766 1.4251357848586983 1165577778.609326
6.755260990578339e-22 0.2359909433420576 1469.454932288481 1.1312795300613852 0.6894083435774273 1165577779.5458698
3.9917971921897376e-23 0.06273576970856158 1344.4484716730185 -0.22229167735967748 1.2980795867829473 1165577779.34101
3.691939627908181e-22 0.3925841693504891 1466.535301530396 0.43369809597424736 1.1937739729074321 1165577779.2760212
4.734729439231728e-22 0.43721585578314814 1356.4789743264735 -0.8722808439533354 0.4772498103694986 1165577778.0963287
6.098600545054343e-22 0.19695273102316574 1355.6897302799102 -0.8908498269261272 1.3019574215546539 1165577778.2830908
1.051680270232884e-22 0.13440235642487963 1441.1637476953474 1.558873139235836 1.4825100167120353 1165577779.4197326
3.246398620527112e-23 0.49428096413840866 1401.6192143382052 -1.4222189403667866 0.7061143306498222 1165577779.0386517
